j0,j1,j2,j3,j4,j5
-0.762402359639303,-2.491664711629049,-1.401320759450094,-0.7797086874591272,-1.581904713307516,-3.1790013949023646
-0.7610481421100062,-2.4913294951068323,-1.4020288626300257,-0.779360596333639,-1.5819528738604944,-3.180258814488546
-0.7597783247577112,-2.4909818808185022,-1.4027369658099573,-0.7789891401873987,-1.582024876271383,-3.1814921537982386
-0.7585437933551233,-2.4906461874591272,-1.4035041967975062,-0.7785809675799769,-1.5821564833270472,-3.1826897303210657
-0.7572978178607386,-2.490335289631979,-1.4042122999774378,-0.7781732718097132,-1.5821564833270472,-3.183983389531271
-0.7547457853900355,-2.4896519819842737,-1.4056761900531214,-0.7774904409991663,-1.5823600927936,-3.186474148427145
-0.7534392515765589,-2.489292923604147,-1.4064081350909632,-0.7770465056048792,-1.5823600927936,-3.1877437273608606
-0.7522175947772425,-2.4889214674579065,-1.40715200105776,-0.7766392866717737,-1.5826118628131312,-3.189060990010397
-0.7508991400348108,-2.4885976950274866,-1.4079082647906702,-0.7762311140643519,-1.5824678579913538,-3.1903064886676233
-0.7483471075641077,-2.4878786245929163,-1.409419361745016,-0.7754877249347132,-1.5827315489398401,-3.192857329045431
-0.7470768133746546,-2.4875672499286097,-1.4101274649249476,-0.7750442663775843,-1.5826719442950647,-3.194150988255636
-0.7457826773272913,-2.4872081915484827,-1.4109070936786097,-0.7745884100543421,-1.5828755537616175,-3.195456329976217
-0.7445367018329065,-2.4868486563311976,-1.4115913550006312,-0.7742293516742151,-1.5828035513507288,-3.196725670491354
-0.7420204321490687,-2.4861777464496058,-1.4130671660052698,-0.7733777205096644,-1.583043400441305,-3.199264113103048
-0.7407501379596155,-2.4858062903033655,-1.4137628714190882,-0.7729819456683558,-1.5829833189593714,-3.20052153268923
-0.7394083181964319,-2.485482994710104,-1.4145062605487269,-0.7725861708270472,-1.583163086568014,-3.20180327097048
-0.7381857077227991,-2.4850876967059534,-1.4153106848346155,-0.7722623983966272,-1.5831154028521937,-3.2030604521380823
-0.7356217543231409,-2.4843929449664515,-1.4167502562152308,-0.7714350859271448,-1.5832951704608362,-3.205623451863424
-0.7343276182757776,-2.484021011983053,-1.417506519948141,-0.7710631529437464,-1.5832589308368128,-3.2068331877337855
-0.7330692450152796,-2.483650032673971,-1.418286148701803,-0.7706440130816858,-1.5834506193744105,-3.2081504503833216
-0.7317994276629847,-2.4832785765277308,-1.41905385652651,-0.7702840010272425,-1.5833547751056116,-3.2094200293170374
-0.7292593161212366,-2.4825595060931605,-1.4206374327289026,-0.7694924513446253,-1.5835707823382776,-3.211886707936422
-0.7279537359820765,-2.4821999708758753,-1.4212854544269007,-0.7691209951983851,-1.5836547056781214,-3.2130723635302942
-0.7267311255084437,-2.4818647543536585,-1.4220650831805628,-0.7687614599810999,-1.5837629477130335,-3.2142820994006556
-0.7254250685321253,-2.4815056959735315,-1.4227851072894495,-0.7683900038348597,-1.5837629477130335,-3.2154913584338587
-0.7229927221881312,-2.4808104673968714,-1.4242008368121546,-0.7675865332232874,-1.5838945547686976,-3.217886749898092
-0.7217581907855433,-2.4804628531085413,-1.4249447027789515,-0.7672384420977991,-1.5840862433062952,-3.2190244833575647
-0.7205246130572718,-2.4801633993731897,-1.4256885687457483,-0.7668545881854456,-1.584038559590475,-3.220246140156881
-0.7192662397967737,-2.479863945637838,-1.4263485113727015,-0.7664831320392054,-1.5842302481280726,-3.221419874821798
-0.7168577353106897,-2.479241196309225,-1.427788559590475,-0.7656796614276331,-1.5842779318438929,-3.223766867314474
-0.7156713644610804,-2.4789298216449183,-1.42847186723818,-0.7654040495501917,-1.5843856970416468,-3.224952522908346
-0.7145450750934046,-2.478582207356588,-1.42920428911318,-0.7650802771197718,-1.5843260923968714,-3.2261622587787073
-0.71332294145693,-2.4782589117633265,-1.4299238363849085,-0.7647202650653284,-1.584517780934469,-3.227276388798849
-0.7109263578998011,-2.4776237646686,-1.4312556425677698,-0.7639172712909144,-1.5845778624164026,-3.229779307042257
-0.7097166220294397,-2.4773362318622034,-1.4320476690875452,-0.7635696570025843,-1.5846856276141565,-3.230953041707174
-0.7084820906268519,-2.476964775715963,-1.43268329301943,-0.7632220427142542,-1.5846136252032679,-3.2321866194354456
-0.7073319594012659,-2.4766534010516565,-1.4333789984332483,-0.7628262678729456,-1.5847094694720667,-3.233431879674093
-0.7049115339862269,-2.475994888936178,-1.4347708860980433,-0.7620828787433069,-1.5847213904010218,-3.235791269932882
